model,recall_at_k,micro_f1,macro_f1,micro_auc,macro_auc
CNN,0.7959208449048549,0.6549571195566389,0.2526616639814742,0.975340631693426,0.849976994965537
KSI+CNN,0.7945960685605641,0.6481762159316773,0.2571433829634292,0.9771492095988878,0.8923178390879237
ModifiedKSI+CNN,0.806643685129816,0.657077998084631,0.3022918207442898,0.9798636597173208,0.9061178787262668
"ModifiedKSI+CNN, tfidf",0.8059917950266747,0.6548314400036793,0.3156426658721299,0.9799582114261728,0.90031070848369
CAML,0.8042954851791094,0.6584776216922574,0.2427364371026042,0.976341283550526,0.8350530656237971
KSI+CAML,0.8028977758924187,0.6451638365679667,0.2363947347948123,0.978454767157785,0.8912290731073315
ModifiedKSI+CAML,0.8067168338624091,0.6480254516797526,0.2776524292805255,0.9798993028304962,0.9010529940608216
"ModifiedKSI+CAML, tfidf",0.8075748246779987,0.6413869332722584,0.2677871761515223,0.9804872425945148,0.9036591854854232
LSTM,0.7142091049618556,0.583105150816067,0.0812698514182314,0.9654389777391684,0.8224083024742339
KSI+LSTM,0.7621934507921461,0.5932728044475272,0.1892257289445993,0.9742591859726144,0.8795679700090776
ModifiedKSI+LSTM,0.7940345520907734,0.622570565032529,0.2436985891772145,0.9798164805884244,0.899958603896264
"ModifiedKSI+LSTM, tfidf",0.7886554126282875,0.6141132642455054,0.2484228716108424,0.9791696673002338,0.8961036467739996
LSTMattn,0.8242150624451475,0.6847787073083188,0.2594499475490824,0.9804827387681386,0.8545017306587064
KSI+LSTMattn,0.7755184063804386,0.6124107611019239,0.2102508068822202,0.9745444829210408,0.8801057400809418
ModifiedKSI+LSTMattn,0.8119258598387471,0.6483482678892164,0.2475871632403977,0.981247669416602,0.9063347810246796
"ModifiedKSI+LSTMattn, tfidf",0.7972625909174152,0.6257412209290639,0.2480529516578661,0.979535640185456,0.8984877567608129
